KAMUS_ID;KATEGORI_ID
31;18
44;18
48;18
38;18
180;18
214;18
217;18
270;18
361;18
393;18
473;18
499;18
775;18
783;18
808;18
1071;18
1066;18
1823;18
1842;18
1841;18
1831;18
1830;18
1927;18
2320;18
2433;18
2683;18
3087;18
4071;18
4426;18
4811;18
4435;18
4956;18
